year,position,artist,title
2008,30,Cascada,What Hurts The Most
2008,31,Alphabeat,Fascination
2008,32,Robyn,Be Mine
2008,33,Chris Brown,With You
2008,34,Mika,Relax Take It Easy
2008,35,Timbaland featuring Keri Hilson & Nicole Scherzinger,Scream
2008,36,Jay Sean,Ride It
2008,37,Hot Chip,Ready For The Floor
2008,38,Sugababes,About You Now
2008,39,Hoosiers,Goodbye Mr A
2008,40,Girls Aloud,Can't Speak French
2008,41,Rihanna featuring Jay-Z,Umbrella
2008,42,The Feeling,I Thought It Was Over
2008,43,Scouting For Girls,She's So Lovely
2008,44,Wombats,Moving To New York
2008,45,Goldfrapp,A&E
2008,46,Booty Luv,Some Kinda Rush
2008,47,Madonna featuring Justin Timberlake,4 Minutes
2008,48,Sam Sparro,Black And Gold
2008,49,Mary J Blige,Just Fine
2008,50,Amy MacDonald,This Is The Life
2008,51,Sugababes,Denial
2008,52,Sugababes,Change
2008,53,Westlife,Us Against The World
2008,54,Panic At The Disco,Nine In The Afternoon
2008,55,Mark Brown featuring Sarah Cracknell,The Journey Continues
2008,56,Kanye West,Stronger
2008,57,Timbaland featuring Doe & Keri Hilson,The Way I Are
2008,58,Rihanna,Hate That I Love You
2008,59,Kate Nash,Pumpkin Soup
2008,60,Newton Faulkner,Dream Catch Me
2008,61,Plain White T's,Hey There Delilah
2008,62,Britney Spears,Gimme More
2008,63,Bloc Party,Flux
2008,64,Delinquent featuring KCat,My Destiny
2008,65,Yael Naim,New Soul
2008,66,The Kooks,Always Where I Need To Be
2008,67,Amy Winehouse,Back To Black
2008,68,Kylie Minogue,2 Hearts
2008,69,Snow Patrol,Chasing Cars
2008,70,50 Cent featuring Justin Timberlake & Timbaland,Ayo Technology
2008,71,Duffy,Rockferry
2008,72,Foals,Cassius
2008,73,Robyn with Kleerup,With Every Heartbeat
2008,74,Futureheads,The Beginning Of The Twist
2008,75,Kate Nash,Foundations
2008,76,Hoosiers,Worried About Ray
2008,77,Mika,Happy Ending
